,Address,Location,Price,Beds,Baths,Sqft
193,2022 Sanders House Street,"Charleston, SC 29492","$895,247Reduced  -$30,000 ",4 br,"3 ba, 1 Half Bath",3029 Sqft
194,1419 Agatha Street,"Charleston, SC 29407","$249,000",2 br,"1 ba, 1 Half Bath",1842 Sqft
195,8010 Thelen Street,"Charleston, SC 29406","$167,000",2 br,1 ba,1132 Sqft
196,995 Oakcrest Drive,"Charleston, SC 29412","$419,900Reduced  -$15,100 ",3 br,2 ba,1139 Sqft
197,1525 Ashley Garden Boulevard,"Charleston, SC 29414","$425,000",4 br,2 ba,2053 Sqft
198,146 Coming St UNIT A,"Charleston, SC 29403","$575,000",3 br,2 ba,1100 Sqft
199,2 Trapman Street,"Charleston, SC 29401","$1,289,000",3 br,"2 ba, 1 Half Bath",1919 Sqft
200,47 E Bay Street,"Charleston, SC 29401","$8,600,000",5 br,"5 ba, 2 Half Bath",7075 Sqft
201,1225 Blakeway Street UNIT #1105,"Charleston, SC 29492","$450,000",3 br,2 ba,1277 Sqft
202,379 Matuskovic Drive,"Charleston, SC 29414","$425,000Reduced  -$10,000 ",4 br,2 ba,1867 Sqft
203,93 E Bay Street,"Charleston, SC 29401","$3,475,000",3 br,"3 ba, 1 Half Bath",2855 Sqft
204,1054 Blue Marlin,"Charleston, SC 29412","$545,000Reduced  -$5,000 ",3 br,2 ba,1394 Sqft
205,700 Daniel Ellis Drive UNIT #8302,"Charleston, SC 29412","$325,000",3 br,2 ba,1394 Sqft
206,14 Charlton Lane,"Charleston, SC 29407","$475,000",3 br,2 ba,1969 Sqft
207,732 Canary Drive,"Charleston, SC 29414","$475,000Reduced  -$24,000 ",4 br,3 ba,1869 Sqft
208,622 Windermere Boulevard UNIT B,"Charleston, SC 29407","$549,000",3 br,3 ba,1720 Sqft
209,600 Bucksley Lane UNIT #305,"Charleston, SC 29492","$310,000",1 br,1 b, 759 Sqft
210,1349 Coosaw Drive,"Charleston, SC 29407","$325,000",3 br,"1 ba, 1 Half Bath",1547 Sqft
211,1840 Pierce Street,"Charleston, SC 29492","$835,000Reduced  -$25,000 ",3 br,"3 ba, 1 Half Bath",2160 Sqft
212,482 Cessna Avenue,"Charleston, SC 29407","$395,000Reduced  -$4,900 ",3 br,2 ba,1377 Sqft
213,1098 Honeysuckle Lane,"Charleston, SC 29412","$565,000",4 br,2 ba,1924 Sqft
214,771 Bent Hickory,"Charleston, SC 29414","$450,000Reduced  -$20,000 ",4 br,"2 ba, 1 Half Bath",2240 Sqft
215,1103 Euclid Drive,"Charleston, SC 29492","$375,000",3 br,"2 ba, 1 Half Bath",1545 Sqft
216,14 N Tracy Street,"Charleston, SC 29403","$795,000",3 br,2 ba,1336 Sqft
217,1619 Wigeon Lane,"Charleston, SC 29412","$499,900Reduced  -$5,100 ",3 br,2 ba,1456 Sqft
218,1131 Marsh Harbor Lane,"Charleston, SC 29492","$405,000Reduced  -$10,000 ",3 br,2 ba,1443 Sqft
219,91 Nassau Street UNIT A/B,"Charleston, SC 29403","$515,000Reduced  -$45,000 ",7 br,"6 ba, 1 Half Bath",3550 Sqft
220,241 Howle Avenue UNIT A,"Charleston, SC 29412","$349,000",2 br,"2 ba, 1 Half Bath",1478 Sqft
221,29 Race Street,"Charleston, SC 29403","$1,100,000Reduced  -$50,000 ",2 br,1 ba,1339 Sqft
222,2628 Augustus Street,"Charleston, SC 29492","$1,425,000",5 br,"3 ba, 1 Half Bath",3444 Sqft
223,256 W Poplar,"Charleston, SC 29403","$615,000",2 br,1 ba,1122 Sqft
224,59 Iron Bottom,"Charleston, SC 29492","$5,300,000",6 br,"6 ba, 2 Half Bath",8191 Sqft
225,16 Morris Street,"Charleston, SC 29403","$985,000",4 br,2 ba,2160 Sqft
226,28 Riverdale Drive,"Charleston, SC 29407","$1,350,000",3 br,"2 ba, 1 Half Bath",2788 Sqft
227,2173 Welch Avenue,"Charleston, SC 29412","$375,000",2 br,1 b, 875 Sqft
228,50 Hanover Street,"Charleston, SC 29403","$850,000",3 br,"3 ba, 1 Half Bath",2564 Sqft
229,2445 Castlereagh Road,"Charleston, SC 29414","$360,000",3 br,2 ba,1357 Sqft
230,517 King Street UNIT #13,"Charleston, SC 29403","$750,000",1 br,"1 ba, 1 Half Bath",1275 Sqft
231,1406 Dove Run Drive UNIT A,"Charleston, SC 29412","$210,000",2 br,"1 ba, 1 Half Bat", 992 Sqft
232,252 Howle Avenue UNIT D1,"Charleston, SC 29412","$314,900Reduced  -$4,100 ",2 br,"1 ba, 1 Half Bath",1016 Sqft
233,961 White Point,"Charleston, SC 29412","$1,090,000",4 br,"3 ba, 1 Half Bath",3031 Sqft
234,415 Parkdale Drive UNIT 6d,"Charleston, SC 29414","$215,000",2 br,"1 ba, 1 Half Bat", 868 Sqft
235,1412 Manor Blvd,"Charleston, SC 29407","$445,000",3 br,"2 ba, 1 Half Bath",1530 Sqft
236,49 Archdale Street,"Charleston, SC 29401","$3,575,000",5 br,2 ba,5650 Sqft
237,27 Farmfield Avenue,"Charleston, SC 29407","$1,300,000Reduced  -$60,000 ",5 br,"4 ba, 1 Half Bath",4314 Sqft
238,191 Dorothy Drive,"Charleston, SC 29414","$365,000Reduced  -$15,000 ",3 br,"2 ba, 1 Half Bath",1484 Sqft
239,85 Cumberland Street UNIT #5,"Charleston, SC 29401","$519,000",1 br,1 b, 484 Sqft
240,2522 Wayne Scott,"Charleston, SC 29414","$355,000Reduced  -$25,000 ",3 br,"2 ba, 1 Half Bath",1482 Sqft
241,1761 Savage Road,"Charleston, SC 29407","$364,000",3 br,2 ba,1000 Sqft
242,1469 Amanda Park Lane,"Charleston, SC 29412","$360,000Reduced  -$20,000 ",2 br,2 ba,1169 Sqft
243,1 Cool Blow Street UNIT #125,"Charleston, SC 29403","$450,000",2 br,2 ba,1214 Sqft
244,1035 Arborwood Drive,"Charleston, SC 29412","$560,000Reduced  -$15,000 ",3 br,2 ba,1564 Sqft
245,1624 Wigeon Lane,"Charleston, SC 29412","$538,888Reduced  -$36,112 ",3 br,2 ba,1440 Sqft
246,1447 Secessionville Road,"Charleston, SC 29412","$485,000",5 br,3 ba,1869 Sqft
247,328 Grouse Park,"Charleston, SC 29414","$400,000",3 br,"2 ba, 1 Half Bath",1644 Sqft
248,1707 Jessamine Road,"Charleston, SC 29407","$435,000Reduced  -$10,000 ",4 br,2 ba,1500 Sqft
